metric,required_information
1.1.1,PO PSO CO and curriculum relevance evidence
1.3.1,Professional Ethics Gender Human Values Environment and Sustainability curriculum evidence
2.2.1,Advanced and slow learner assessment and special programmes
2.3.1,Experiential participative and problem-solving teaching-learning evidence
2.3.2,ICT-enabled tools and online resources evidence
2.3.3,Student-mentor information
2.6.1,Learning outcomes or graduate attributes integrated into assessment and publicized
2.6.2,PO PSO CO attainment evidence
2.7.1,Student Satisfaction Survey results/details and web link
4.1.1,Classrooms laboratories computing equipment and other teaching-learning facilities
6.5.2,Academic Administrative Audit and follow-up action
6.5.3,Incremental improvements and quality initiatives
