metric,title,aggregation,non_template
1.1.1,Curricula developed and implemented,REVIEW,YES
1.1.2,Syllabus revision, SUM_IF_NONOVERLAP,NO
1.1.3,Courses focused on employability entrepreneurship skill development,SUM_IF_NONOVERLAP,NO
1.2.1,New courses introduced,UNIQUE_COUNT,NO
1.2.2,CBCS elective system,UNIQUE_COUNT,NO
1.3.1,Crosscutting issues integrated into curriculum,REVIEW,YES
1.3.2,Value-added courses,UNIQUE_COUNT,NO
1.3.3,Students enrolled in value-added courses,SUM_IF_NONOVERLAP,NO
1.3.4,Field projects research projects internships,SUM_IF_NONOVERLAP,NO
2.1.1,Enrolment percentage,REVIEW_RATIO,NO
2.1.2,Reserved category admissions,REVIEW,NO
2.2.1,Learning levels and special programmes,REVIEW,YES
2.3.1,Student centric methods,REVIEW,YES
2.3.2,ICT enabled teaching learning,REVIEW,YES
2.3.3,Students to mentor ratio,REVIEW_RATIO,YES
2.4.1,Teachers against sanctioned posts,REVIEW_RATIO,NO
2.4.2,Teachers with PhD,SUM_IF_NONOVERLAP,NO
2.4.4,Teachers with NET SLET SET,SUM_IF_NONOVERLAP,NO
2.5.1,Student grievance redressal,REVIEW,NO
2.6.1,Learning outcomes,REVIEW,YES
2.6.2,Attainment of POs PSOs COs,REVIEW,YES
2.7.1,Student Satisfaction Survey,REVIEW,YES
3.4.6,Extension and outreach activities,UNIQUE_COUNT,NO
3.6.3,Students participating in extension activities,SUM_IF_NONOVERLAP,NO
4.1.1,Facilities for teaching learning,REVIEW,YES
4.3.1,IT facilities,REVIEW,NO
5.1.2,Capacity development schemes,REVIEW,NO
5.2.1,Placement and higher education,SUM_IF_NONOVERLAP,NO
5.2.2,Students qualifying competitive examinations,SUM_IF_NONOVERLAP,NO
5.2.3,Students qualifying examinations,SUM_IF_NONOVERLAP,NO
5.3.1,Student representation and participation,REVIEW,NO
6.3.4,Teachers undergoing professional development,SUM_IF_NONOVERLAP,NO
6.5.2,Academic Administrative Audit,REVIEW,YES
6.5.3,Incremental improvements in quality,REVIEW,YES
